"1","CE-001","Operating Systems","Garry Nutt","McGrawHill"
"2","CE-002","Web Technology","Ramesh Bhangia","Firewall Media"
"3","CE-003","Operating System","Achyut S Godbole","McGrawHill"
"4","CE-004","Software Matrices","Fenton & Pfleeger","Thomson"
"5","CE-005","Complete Reference Linux","Richard Peterson","McGrawHill"
"6","CE-006","Pragmatic C","R K Jangda","Firewall Media"
"7","CE-007","Computer Networks 4th edition ","Andrew Tanenbaum","PHI"
"8","CE-008","Embedded System","Rajkamal","McGrawHill"
"9","CE-009","Programming in C & Numerical Anlysis","J B Dixit","FireWall Media"
"10","CE-010","Inro Unix and Linux","John Muster","McGrawHill"
"11","CE-011","Computer Networking","James Kurose","Pearson Edition"
"12","CE-012","Operating Systems","D M Dhamdhare","McGrawHill"
"13","CE-013","Computing & Communication","A R Dasgupta","Allied"
"14","CE-014","Database management Systems","Rajesh Narang","PHI"
"15","CE-015","Java & OOP Paradigm","Dabashish jana","EEE"
"16","CE-016","Programatic C","R K Jandga","EEE"
"17","CE-017","Windows CE.Net","Douglas Boling","Microsoft Press"
"18","CE-018","TCP/IP Protocol Suite","Behrouz a ferouzan","TMH"
"19","CE-019","Elements of Discrete mathematics","C L Liu","TMH"
"20","CE-020","Automata & Theoretical CS","B R Ragade","Pearson Edition
"
"21","CE-021","Mobile communication and networking","Darshan R Amrutia","Pravin Prakashan Pvt. Ltd"
"22","CE-022","Theory of Automata, Formal Languages","S P Eugene","New Age international Publication"
"23","CE-023","Theory of Computation","A.M.Natarajan","New Age international Pub"
"24","CE-024","Logic and Prolog Programming","Saroj Kaushik","New Age international Publication"
"25","CE-025","IT++ & CSI 2004","D Janakiram, M Chandwani","McGrawHill"
"26","CE-026","Principles of Multimedia","Ranjan Parekh","McGrawHill"
"27","CE-027","OOP and C++","E Balaguruswamy","McGrawHill"
"28","CE-028","Discrete Mathematics","Semyour Lipschutz","McGrawHill"
"29","CE-029","RH 007,RedHat ","RedHAt","McGrawHill"
"30","CE-030","Journey to C","Punit B Ganshani","Mahahan Publication House"
"31","CE-031","RH 007,RedHat ","RedHAt","McGrawHill"
"32","CE-032","Principles of Multimedia","Ranjan Parekh","McGrawHill"
"33","CE-033","Operating Systems","Vipin Saxena","Umesh Publication"
"34","CE-034","Problems and Solutions of Network Analysis","ValkenBurg",
"35","CE-035","Data Structure with Java ? Second Edition","John R. Hubbard","McGraw Hill"
"36","CE-036","Digital image Processing Using MATLAB","Gonzalez, Woods, Eddins","McGraw Hill"
"37","CE-037","Exploring Python","Timothy A. Budd","McGraw Hill"
"38","CE-038","TCP/IP Protocol Suite Fourth Edition","Behrouz A. Forouzan","McGraw Hill"
"39","CE-039","Digital image Processing Using MATLAB- Second Edition","Gonzalez, Woods, Eddins","McGraw Hill"
"40","CE-040","Introduction to Languages and The Theory of Computation","John C Martin","tata McGrawHill"
"41","CE-041","Numerical Analysis and Algorithms","Pradip Niyogi","McGraw Hill"
"42","CE-042","Elements of Discrete mathematics","C L Liu,D P Mohapatra","tata McGrawHill"
"43","CE-043","OOP and C++","Rohit Khurana","Vikas Publication"
"44","CE-044","Operating System Concept","Silberschatz Galvin","WSE Willey"
"45","CE-045","Advanced Unix, programmer?s Guide","Stephen prata","BPB Publication"
"46","CE-046","Discrete Mathematical Structures with Applications to Comp. Sci.","Tremblay,Manohar","MCGraw Hill"
"47","CE-047","TCP/IP Protocol Suite Fourth Edition","Behrouz A. Forouzan","McGraw Hill"
"48","CE-048","Programming  in C# A Primer Third Edition","E  Balaguruswamy","McGraw Hill"
"49","CE-049","RSA Security Official Guide to Cryptography","Steve Burnett and Stephen Paine","MCGraw Hill"
"50","CE-050","Embedded Real Time system programming","Shriram V Iyer","MCGraw Hill"
"51","CE-051","Software Engineering","Waman Jawadekar","MCGraw Hill"
"52","CE-052","Introduction to Compiler Design","Udit Agrawal","Dhanpat Rai & Co."
"53","CE-053","Foxpro 2.5","R K Taxali","BPB publication"
"54","CE-054","Operating System","Milan milenkoic","MCGraw Hill"
"55","CE-055","C++ an introduction to programming","Jesse Libery,jim Keogh","EEE"
"56","CE-056","Theory of Computer Science","KLP Mishra","PHI"
"57","CE-057","A first book of C++","Gary J Broson","Books/cole"
"58","CE-058","Programming in C","M T savaliya","Atul"
"59","CE-059","Parallel Computer Architecture","David E Culler","Elsevier
"
"60","CE-060","Computer Architecture","John Hennessy & D Patterson","Elsevier
"
"61","CE-061","Compiler Designing","O G Kakde","Laxmi Publication"
"62","CE-062","Data structure for C programming","Ajay kumar","Firewall media"
"63","CE-063","Theory of automata and formal language","Anand sharma","Laxmi publication"
"64","CE-064","Discrete mathematics & structure","Satinder bal Gupta","Laxmi publication"
"65","CE-065","Fundamental of CP and IT","J B Dixit & sangeet a Dixit","Laxmi publication"
"66","CE-066","Computer organization","V hamacher ","MCGrawhill"
"67","CE-067","An introduction to neural networks","James A andrson","PHI"
"68","CE-068","Programming windows 3.1","Charles petzold","The authorized edition"
"69","CE-069","Embedded Real-time Systems programming","Sriram V Iyer","McGrawHill"
"70","CE-070","Graph Theory","Narsingh  Deo","PHI"
"71","CE-071","An introduction to operating system","Pramodchandra P Bhatt","PHI"
"72","CE-072","Parellel computing","moreshwar r bhujade","New Age international Pub"
"73","CE-073","Java Programming .A Practical approach","C Xavier","McGraw Hill"
"74","CE-074","Data Structure Using C ","ISRD Group","McGraw Hill"
"75","CE-075","Database Management Systems ","G K Gupta","McGraw Hill"
"76","CE-076","VHDL Programming by Example Fourth Edition","Douglas L. Perry","McGraw Hill"
"77","CE-077","INTRODUCTION TO EMBEDDED SYSTEM","SHIBU K V","MCGrawHill"
"78","CE-078","Object oriented programming and C++","E  Balaguruswamy","MCGraw Hill"
"79","CE-079","The 8088 & 8086 Microporcessor","Walter A Triebel,Avatar singh","PHI"
"80","CE-080","Java & OOP Paradigm","Debashish Jana","PHI"
"81","CE-081","Expert Data Structures with C","R B Patel","Khanna Book Publication"
"82","CE-082","TCP/IP Protocol Suite","Bheroze Forouzan","MCGrawHill"
"83","CE-083","Data communication and Networking","Bheroze Forouzan","MCGrawHill"
"84","CE-084","Artificial Intelligence ","Christopher Thornton","New Age international Pub"
"85","CE-085","Web Technology and Design","C Xavier","New Age international Pub"
"86","CE-086","C++ solutions for math problems","Arun Ghosh","New Age international Pub"
"87","CE-087","Computer Fundamentals","B Ram","New Age international Pub"
"88","CE-088","Mathemetical Foundation of CS","Y N Singh","New Age international Pub"
"89","CE-089","Numerical Methods","M K Jain , R K Jain","New Age international Pub"
"90","CE-090","Fundamentals of Data Structures in C++","Elllis and Dinesh","Universities press "
"91","CE-091","OOP and C++","R Rajaram","New Age international Pub"
"92","CE-092","PIC Microcontroller and ES","Mohmmad Ali Mazidi","Pearson"
"93","CE-093","Operating Systems","H.M.Deitel ","Pearson"
"94","CE-094","Design methods & Analysis of Algorithm","S K Basu","PHI"
"95","CE-095","Operating System","Achyut S Godbole","McGrawHill"
"96","CE-096","Introduction to Parrellel computing","Ananth grama  Vipin kumar","Pearson"
"97","CE-097","Mobile computing ","Raj Kamal","Oxford."
"98","CE-098","Object-Oriented Programming with JAVA","Rajkumar Boyya","McGrawHill"
"99","CE-099","Fundamental of DBMS","Ramez Elmasri","Pearson Edition"
"100","CE-100","Unix Network Programming","Stevens","PHI"
"101","CE-101","Database Systems using Oracles","Nilesh Shah","EEE"
"102","CE-102","C++ program Design","Cohoon & Davidson","McGrawHill"
"103","CE-103","Operating System","Achyut S Godbole","McGrawHill"
"104","CE-104","Introduction to computer science","ITL ESL","Pearson Edition"
"105","CE-105","IT Project Management","Joseph Phillips","McGrawHill"
"106","CE-106","Advanced Microprocessor peripheral","A K Ray,K M Bhurchandi","McGrawHill"
"107","CE-107","An intro to OOP with JAVA","C Thomas WU","McGrawHill"
"108","CE-108","Programming in C and C++","S S Khadare","S Chand"
"109","CE-109","Software Engineering","K K Agrwal","New Age international publication"
"110","CE-110","Discrete Mathematics","Swapan kumar Sarkar","S Chand"
"111","CE-111","Artificial Intelligence","Christopher Thornton","New Age international publication"
"112","CE-112","Linux Device Drivers","Alessandro Rubini","SPD"
"113","CE-113","Data Communication & Networkig","Forouzan","McGrawHill"
"114","CE-114","Understanding Neural Fuzzy Logics","Karatalpoulos","PHI"
"115","CE-115","Introduction to language and theory of Computation","John C Martin","McGrawHill"
"116","CE-116","Advanced Microprocessor and Peripherals","A K Ray, Bhruchandi","McGrawHill"
"117","CE-117","Algoriths Design and Analysis","Udit Agrawal","Dhanpat Rai & Co."
"118","CE-118","Data Structure","Lipschutz","McGrawHill"
"119","CE-119","Introduction to applied Fuzzy Electronics","Ahmad M Ibrahim","PHI"
"120","CE-120","The Art of prolog Advance programming Tech","Sterling & Shapiro","PHI"
"121","CE-121 ","Data communication and networking","Forouzan","McGrawHill"
"122","CE-122","Advanced microprocessor and peripherals","Ray bhurchandani","McGrawHill"
"123","CE-123","Introduction to TURBO PROLOG","Townsend","BPB publication"
"124","CE-124","Data communication and networking","Forouzan","McGrawHill"
